PERIOD,USR_MATRICULE,ASSIDUITE,PROD,QUAL,DEPASS,SCORE,GENERATED,score_mean,score_std,score_last,score_trend,score_change,score_missing_count,assiduite_mean,assiduite_std,assiduite_last,assiduite_trend,assiduite_change,assiduite_missing_count,prod_mean,prod_std,prod_last,prod_trend,prod_change,prod_missing_count,qual_mean,qual_std,qual_last,qual_trend,qual_change,qual_missing_count,depass_mean,depass_std,depass_last,depass_trend,depass_change,depass_missing_count,target_SCORE,ASSIDUITE_lag_1,ASSIDUITE_lag_2,ASSIDUITE_lag_3,PROD_lag_1,PROD_lag_2,PROD_lag_3,QUAL_lag_1,QUAL_lag_2,QUAL_lag_3,DEPASS_lag_1,DEPASS_lag_2,DEPASS_lag_3,SCORE_lag_1,SCORE_lag_2,SCORE_lag_3
2025-11-01,1095,99.396,91.068,88.876,8.606,67.684,True,76.649,17.9237559865857,61.44,-2.6259999999999852,-5.251999999999995,0.0,102.43633333333332,5.472981901019671,97.232,-1.4224999999999852,-2.844999999999999,0.0,96.37033333333333,7.397914901436003,106.485,8.744000000000016,17.488,0.0,79.21199999999999,3.988999999999997,75.223,-7.977999999999994,-7.977999999999994,1.0,19.342000000000002,13.837000000000002,33.179,27.673999999999992,27.674000000000003,1.0,67.684,97.232,110.0,100.077,106.485,93.629,88.997,75.223,,83.201,33.179,,5.505,61.44,101.815,66.692
2025-12-01,1095,99.839,78.665,80.518,12.255,61.692,True,76.97966666666666,17.74527580950929,67.684,-17.065499999999986,-34.131,0.0,102.20933333333333,5.579222725633224,99.396,-5.301999999999986,-10.604,0.0,97.06066666666668,6.74552811539286,91.068,-1.2805000000000044,-2.561000000000007,0.0,82.0495,6.826500000000003,88.876,13.652999999999984,13.653000000000006,1.0,20.892500000000002,12.2865,8.606,-24.572999999999997,-24.573,1.0,61.692,99.396,97.232,110.0,91.068,106.485,93.629,88.876,75.223,,8.606,33.179,,67.684,61.44,101.815
2026-01-01,1095,96.141,94.787,,,95.464,True,63.605333333333334,2.8858871926825005,61.692,0.12600000000001457,0.25200000000000244,0.0,98.82233333333333,1.1389856110689995,99.839,1.3035000000000068,2.6069999999999993,0.0,92.07266666666668,11.379663625179004,78.665,-13.909999999999988,-27.819999999999993,0.0,81.539,5.620375610223931,80.518,2.647500000000012,5.295000000000002,0.0,18.013333333333335,10.826722629165712,12.255,-10.461999999999998,-20.924,0.0,95.464,99.839,99.396,97.232,78.665,91.068,106.485,80.518,88.876,75.223,12.255,8.606,33.179,61.692,67.684,61.44
2026-02-01,1095,101.995,109.471,77.541,12.274,69.183,True,74.94666666666667,14.712732384646376,95.464,13.89000000000001,27.78,0.0,98.45866666666667,1.64878669195125,96.141,-1.6274999999999942,-3.2549999999999955,0.0,88.17333333333333,6.892703501207312,94.787,1.8595000000000106,3.7190000000000083,0.0,84.697,4.179000000000002,80.518,-8.358000000000011,-8.358000000000004,1.0,10.4305,1.8245000000000005,12.255,3.648999999999999,3.649000000000001,1.0,69.183,96.141,99.839,99.396,94.787,78.665,91.068,,80.518,88.876,,12.255,8.606,95.464,61.692,67.684
2025-11-01,1212,88.05,72.197,-97.686,-4.812,16.843,True,65.45966666666666,10.039127197564978,60.01,1.5894999999999997,3.178999999999995,0.0,87.66199999999999,3.112786961336524,84.624,-3.6580000000000052,-7.3160000000000025,0.0,85.35466666666667,8.99742338425594,91.034,-0.6709999999999965,-1.3419999999999987,0.0,81.52,8.899000000000001,90.419,17.79799999999998,17.798000000000002,1.0,27.825499999999998,1.7864999999999984,26.039,-3.5730000000000004,-3.572999999999997,1.0,16.843,84.624,86.422,91.94,91.034,72.654,92.376,90.419,,72.621,26.039,,29.612,60.01,79.538,56.831
2025-12-01,1212,90.417,84.048,,,87.232,True,52.13033333333333,26.19456198441874,16.843,-31.347500000000004,-62.69499999999999,0.0,86.36533333333334,1.3992324880289042,88.05,0.8140000000000058,1.6280000000000001,0.0,78.62833333333333,8.774114820817479,72.197,-0.22849999999999043,-0.45699999999999363,0.0,-3.633500000000005,94.05250000000001,-97.686,-188.10499999999996,-188.10500000000002,1.0,10.6135,15.4255,-4.812,-30.851,-30.851000000000003,1.0,87.232,88.05,84.624,86.422,72.197,91.034,72.654,-97.686,90.419,,-4.812,26.039,,16.843,60.01,79.538
2026-01-01,1212,97.425,104.423,72.25,-12.305,71.601,True,54.69499999999999,28.9809103721743,87.232,13.611000000000013,27.222,0.0,87.697,2.3781181635907016,90.417,2.8965000000000134,5.793000000000006,0.0,82.42633333333333,7.7751953601751325,84.048,-3.49299999999999,-6.986000000000004,0.0,-3.633500000000005,94.05250000000001,-97.686,-188.10499999999996,-188.10500000000002,1.0,10.6135,15.4255,-4.812,-30.851,-30.851000000000003,1.0,71.601,90.417,88.05,84.624,84.048,72.197,91.034,,-97.686,90.419,,-4.812,26.039,87.232,16.843,60.01
2026-02-01,1212,86.433,77.358,73.906,-9.648,61.836,True,58.55866666666666,30.179790968276915,71.601,27.37900000000001,54.757999999999996,0.0,91.964,3.9805831231114865,97.425,4.687500000000021,9.375,0.0,86.88933333333334,13.308735235008454,104.423,16.113000000000003,32.226,0.0,-12.718000000000004,84.968,72.25,169.93599999999998,169.936,1.0,-8.5585,3.7464999999999997,-12.305,-7.492999999999996,-7.492999999999999,1.0,61.836,97.425,90.417,88.05,104.423,84.048,72.197,72.25,,-97.686,-12.305,,-4.812,71.601,87.232,16.843
2025-11-01,2010,102.356,101.233,70.52,-28.101,75.552,True,68.84,7.056020549856697,64.458,0.5955000000000027,1.1909999999999954,0.0,100.021,4.5534791826324055,105.168,2.1844999999999946,4.369,0.0,94.97500000000001,3.8811094633708345,90.745,-1.6580000000000021,-3.3160000000000025,0.0,72.99766666666666,2.6111711718860726,76.684,2.6705000000000014,5.340999999999994,0.0,-7.366333333333334,30.153889305066805,14.765,0.8145000000000052,1.6290000000000013,0.0,75.552,105.168,94.096,100.799,90.745,100.119,94.061,76.684,70.966,71.343,14.765,-50.0,13.136,64.458,78.795,63.267
2025-12-01,2010,110.0,110.0,74.783,13.321,70.366,True,72.935,6.138615967789485,75.552,-1.6214999999999897,-3.242999999999995,0.0,100.54,4.698984854909266,102.356,4.1300000000000034,8.259999999999991,0.0,97.36566666666666,4.703556762942509,101.233,0.5570000000000195,1.1140000000000043,0.0,72.72333333333331,2.806526837371931,70.52,-0.22299999999997785,-0.44599999999999795,0.0,-21.112,26.898090353530055,-28.101,10.949499999999997,21.899,0.0,70.366,102.356,105.168,94.096,101.233,90.745,100.119,70.52,76.684,70.966,-28.101,14.765,-50.0,75.552,64.458,78.795
